Category,Activity,Start_Time
Extracurricular,Volunteer Activities,14.43
Academic,Classes/Lectures,10.11
Well-being,Exercise,6.08
Well-being,Exercise,7.99
Social,Family Events,14.89
Extracurricular,Club Meetings,19.83
Well-being,Meditation/Yoga,13.59
Personal,Doctor/Dentist Appointments,10.87
Well-being,Exercise,7.61
Personal,Doctor/Dentist Appointments,11.41
Academic,Study Sessions,14.75
Extracurricular,Sports Practices/Games,16.74
Academic,Study Sessions,14.81
Personal,Errands/Chores,18.81
Personal,Errands/Chores,18.92
Academic,Study Sessions,13.32
Extracurricular,Volunteer Activities,14.08
Academic,Study Sessions,13.72
Extracurricular,Sports Practices/Games,17.06
Academic,Exams/Quizzes,19.02
Personal,Doctor/Dentist Appointments,9.69
Personal,Errands/Chores,18.23
Social,Parties/Gatherings,21.88
Social,Family Events,14.31
Social,Family Events,14.96
Personal,Errands/Chores,18.91
Social,Family Events,14.71
Academic,Study Sessions,14.67
Academic,Study Sessions,14.77
Academic,Exams/Quizzes,19.52
Well-being,Exercise,6.12
Extracurricular,Club Meetings,20.27
Well-being,Exercise,7.54
Social,Family Events,14.88
Extracurricular,Sports Practices/Games,16.24
Personal,Errands/Chores,18.16
Well-being,Exercise,6.31
Academic,Exams/Quizzes,18.14
Work,Work Meetings,16.45
Social,Parties/Gatherings,21.0
Social,Family Events,14.97
Work,Part-time Job Shifts,9.58
Social,Family Events,14.54
Academic,Exams/Quizzes,19.03
Academic,Study Sessions,13.44
Personal,Errands/Chores,18.96
Extracurricular,Club Meetings,20.99
Extracurricular,Sports Practices/Games,17.35
Work,Part-time Job Shifts,9.83
Work,Part-time Job Shifts,10.3
Personal,Birthdays/Anniversaries,14.1
Academic,Study Sessions,14.72
Social,Family Events,14.47
Extracurricular,Sports Practices/Games,17.58
Extracurricular,Sports Practices/Games,16.02
Social,Parties/Gatherings,22.22
Academic,Classes/Lectures,8.76
Extracurricular,Sports Practices/Games,16.26
Well-being,Exercise,6.72
Personal,Birthdays/Anniversaries,14.39
Extracurricular,Club Meetings,19.55
Social,Parties/Gatherings,21.88
Work,Work Meetings,15.05
Personal,Errands/Chores,19.63
Social,Parties/Gatherings,22.83
Personal,Errands/Chores,18.99
Personal,Birthdays/Anniversaries,14.1
Extracurricular,Club Meetings,20.39
Social,Parties/Gatherings,21.33
Social,Parties/Gatherings,21.42
Personal,Doctor/Dentist Appointments,11.23
Work,Part-time Job Shifts,10.45
Academic,Exams/Quizzes,18.25
Personal,Doctor/Dentist Appointments,10.71
Extracurricular,Volunteer Activities,14.83
Extracurricular,Volunteer Activities,14.34
Social,Family Events,14.7
Social,Family Events,14.97
Well-being,Exercise,6.58
Well-being,Meditation/Yoga,13.35
Work,Part-time Job Shifts,9.24
Social,Parties/Gatherings,21.23
Extracurricular,Sports Practices/Games,16.67
Extracurricular,Club Meetings,19.8
Social,Parties/Gatherings,21.54
Extracurricular,Volunteer Activities,14.49
Academic,Study Sessions,13.17
Work,Part-time Job Shifts,11.45
Well-being,Meditation/Yoga,13.49
Academic,Study Sessions,14.42
Personal,Doctor/Dentist Appointments,9.1
Personal,Birthdays/Anniversaries,14.13
Work,Part-time Job Shifts,10.02
Academic,Classes/Lectures,11.79
Personal,Errands/Chores,18.46
Extracurricular,Volunteer Activities,14.32
Academic,Classes/Lectures,10.88
Well-being,Exercise,7.59
Extracurricular,Sports Practices/Games,17.18
Academic,Study Sessions,14.05
Extracurricular,Volunteer Activities,14.25
Personal,Errands/Chores,18.65
Well-being,Meditation/Yoga,13.03
Personal,Birthdays/Anniversaries,14.5
Academic,Study Sessions,13.63
Academic,Classes/Lectures,11.34
Social,Parties/Gatherings,22.56
Social,Parties/Gatherings,22.03
Personal,Birthdays/Anniversaries,14.25
Extracurricular,Club Meetings,20.03
Well-being,Meditation/Yoga,13.55
Academic,Study Sessions,13.48
Well-being,Meditation/Yoga,13.2
Work,Work Meetings,15.14
Extracurricular,Volunteer Activities,14.61
Personal,Birthdays/Anniversaries,14.74
Personal,Errands/Chores,19.97
Personal,Doctor/Dentist Appointments,11.58
Extracurricular,Volunteer Activities,14.69
Personal,Errands/Chores,19.89
Social,Family Events,14.2
Well-being,Exercise,6.68
Personal,Birthdays/Anniversaries,14.9
Academic,Exams/Quizzes,19.1
Work,Work Meetings,15.21
Social,Family Events,14.51
Well-being,Meditation/Yoga,13.42
Social,Family Events,14.31
Social,Family Events,14.95
Personal,Doctor/Dentist Appointments,11.56
Academic,Study Sessions,13.11
Well-being,Exercise,6.26
Extracurricular,Sports Practices/Games,16.2
Extracurricular,Sports Practices/Games,16.58
Academic,Study Sessions,14.79
Social,Family Events,14.49
Work,Work Meetings,15.51
Work,Part-time Job Shifts,9.28
Work,Work Meetings,15.97
Extracurricular,Sports Practices/Games,16.28
Personal,Doctor/Dentist Appointments,10.58
Work,Work Meetings,16.84
Social,Parties/Gatherings,22.54
Work,Part-time Job Shifts,12.08
Well-being,Meditation/Yoga,13.68
Work,Work Meetings,15.4
Work,Work Meetings,15.19
Work,Work Meetings,15.85
Well-being,Exercise,7.49
Well-being,Meditation/Yoga,14.94
Social,Parties/Gatherings,22.9
Work,Work Meetings,15.9
Academic,Exams/Quizzes,19.62
Academic,Study Sessions,13.16
Extracurricular,Sports Practices/Games,17.81
Personal,Errands/Chores,18.25
Extracurricular,Sports Practices/Games,16.87
Social,Parties/Gatherings,22.19
Well-being,Exercise,6.23
Work,Part-time Job Shifts,10.34
Extracurricular,Volunteer Activities,14.71
Personal,Birthdays/Anniversaries,14.35
Extracurricular,Sports Practices/Games,17.92
Personal,Errands/Chores,19.41
Personal,Errands/Chores,18.59
Social,Parties/Gatherings,22.66
Social,Family Events,14.61
Academic,Study Sessions,13.96
Academic,Exams/Quizzes,18.57
Personal,Errands/Chores,19.86
Work,Work Meetings,15.05
Academic,Study Sessions,14.21
Social,Family Events,14.48
Work,Work Meetings,15.55
Well-being,Meditation/Yoga,14.24
Work,Part-time Job Shifts,12.36
Academic,Exams/Quizzes,19.45
Well-being,Meditation/Yoga,14.51
Well-being,Meditation/Yoga,14.34
Extracurricular,Volunteer Activities,14.63
Social,Parties/Gatherings,21.52
Social,Family Events,14.31
Well-being,Exercise,6.13
Work,Part-time Job Shifts,9.66
Social,Parties/Gatherings,22.56
Personal,Birthdays/Anniversaries,14.66
Work,Part-time Job Shifts,10.63
Academic,Classes/Lectures,10.08
Extracurricular,Sports Practices/Games,17.7
Academic,Exams/Quizzes,19.56
Well-being,Meditation/Yoga,13.13
Personal,Doctor/Dentist Appointments,11.27
Personal,Doctor/Dentist Appointments,10.87
Personal,Birthdays/Anniversaries,14.39
Social,Parties/Gatherings,22.07
Academic,Exams/Quizzes,19.71
Academic,Exams/Quizzes,19.95
Social,Family Events,14.65
Academic,Study Sessions,14.3
Extracurricular,Volunteer Activities,14.61
Social,Family Events,14.49
Extracurricular,Volunteer Activities,14.86
Well-being,Meditation/Yoga,14.94
Academic,Exams/Quizzes,18.59
Social,Family Events,14.2
Extracurricular,Sports Practices/Games,16.21
Well-being,Meditation/Yoga,13.03
Social,Family Events,14.2
Personal,Doctor/Dentist Appointments,11.79
Personal,Errands/Chores,19.33
Well-being,Exercise,7.58
Academic,Study Sessions,13.16
Social,Family Events,14.3
Well-being,Meditation/Yoga,13.88
Work,Part-time Job Shifts,9.89
Social,Family Events,14.58
Academic,Classes/Lectures,9.46
Social,Family Events,14.58
Social,Family Events,14.44
Social,Family Events,14.51
Work,Part-time Job Shifts,11.85
Social,Parties/Gatherings,22.23
Work,Work Meetings,16.5
Well-being,Meditation/Yoga,13.77
Well-being,Exercise,7.79
Academic,Exams/Quizzes,19.87
Work,Part-time Job Shifts,9.26
Personal,Doctor/Dentist Appointments,11.62
Academic,Exams/Quizzes,19.72
Personal,Errands/Chores,19.67
Work,Part-time Job Shifts,10.75
Academic,Exams/Quizzes,19.85
Work,Work Meetings,16.99
Well-being,Exercise,6.23
Extracurricular,Sports Practices/Games,17.88
Well-being,Exercise,7.52
Social,Family Events,14.9
Social,Family Events,14.54
Social,Parties/Gatherings,21.02
Well-being,Exercise,7.47
Social,Parties/Gatherings,22.43
Academic,Classes/Lectures,11.29
Extracurricular,Sports Practices/Games,17.19
Extracurricular,Sports Practices/Games,16.6
Extracurricular,Sports Practices/Games,17.51
Social,Parties/Gatherings,22.32
Personal,Doctor/Dentist Appointments,11.17
Work,Work Meetings,16.95
Well-being,Exercise,6.31
Well-being,Meditation/Yoga,14.16
Academic,Classes/Lectures,11.84
Well-being,Meditation/Yoga,13.44
Work,Work Meetings,16.57
Personal,Birthdays/Anniversaries,14.65
Well-being,Meditation/Yoga,13.2
Academic,Exams/Quizzes,19.13
Extracurricular,Sports Practices/Games,16.85
Well-being,Exercise,6.8
Personal,Birthdays/Anniversaries,14.13
Academic,Classes/Lectures,8.24
Well-being,Meditation/Yoga,13.15
Extracurricular,Volunteer Activities,14.44
Personal,Errands/Chores,18.59
Work,Part-time Job Shifts,10.08
Personal,Errands/Chores,18.23
Work,Work Meetings,15.56
Personal,Doctor/Dentist Appointments,10.41
Personal,Errands/Chores,18.24
Well-being,Exercise,7.42
Personal,Doctor/Dentist Appointments,10.0
Academic,Classes/Lectures,9.38
Extracurricular,Sports Practices/Games,17.9
Extracurricular,Club Meetings,20.3
Academic,Classes/Lectures,9.19
Personal,Errands/Chores,18.68
Social,Parties/Gatherings,21.9
Social,Parties/Gatherings,22.38
Social,Family Events,14.92
Well-being,Meditation/Yoga,14.52
Work,Work Meetings,16.81
Extracurricular,Sports Practices/Games,16.3
Well-being,Exercise,7.98
Well-being,Exercise,7.03
Work,Work Meetings,15.12
Academic,Classes/Lectures,9.06
Work,Work Meetings,15.33
Personal,Doctor/Dentist Appointments,11.73
Well-being,Exercise,7.52
Academic,Study Sessions,14.59
Extracurricular,Club Meetings,19.93
Social,Family Events,14.29
Work,Work Meetings,15.54
Academic,Exams/Quizzes,18.58
Well-being,Exercise,6.53
Well-being,Meditation/Yoga,14.59
Personal,Errands/Chores,19.45
Personal,Birthdays/Anniversaries,14.73
Well-being,Meditation/Yoga,14.39
Extracurricular,Sports Practices/Games,16.79
Social,Family Events,14.64
Well-being,Exercise,7.87
Well-being,Meditation/Yoga,14.7
Work,Work Meetings,16.61
Academic,Study Sessions,14.32
Extracurricular,Sports Practices/Games,16.19
Personal,Birthdays/Anniversaries,14.95
Social,Parties/Gatherings,21.27
Work,Part-time Job Shifts,9.26
Personal,Doctor/Dentist Appointments,9.61
Work,Work Meetings,16.83
Social,Family Events,14.77
Extracurricular,Volunteer Activities,14.26
Well-being,Exercise,7.16
Personal,Birthdays/Anniversaries,14.79
Personal,Doctor/Dentist Appointments,10.77
Social,Parties/Gatherings,21.44
Personal,Birthdays/Anniversaries,14.24
Social,Parties/Gatherings,22.35
Extracurricular,Sports Practices/Games,16.96
Academic,Study Sessions,13.11
Social,Parties/Gatherings,22.98
Personal,Birthdays/Anniversaries,14.9
Personal,Birthdays/Anniversaries,14.28
Personal,Birthdays/Anniversaries,14.82
Personal,Errands/Chores,18.67
Well-being,Exercise,7.3
Personal,Doctor/Dentist Appointments,11.88
Academic,Exams/Quizzes,18.9
Work,Part-time Job Shifts,9.9
Academic,Exams/Quizzes,19.47
Personal,Birthdays/Anniversaries,14.54
Social,Family Events,14.14
Personal,Doctor/Dentist Appointments,9.33
Academic,Exams/Quizzes,19.53
Extracurricular,Sports Practices/Games,17.56
Academic,Exams/Quizzes,19.15
Personal,Birthdays/Anniversaries,14.9
Personal,Errands/Chores,19.72
Extracurricular,Club Meetings,19.39
Academic,Study Sessions,13.67
Well-being,Meditation/Yoga,14.01
Work,Part-time Job Shifts,10.42
Extracurricular,Volunteer Activities,14.37
Social,Family Events,14.07
Personal,Birthdays/Anniversaries,14.27
Well-being,Meditation/Yoga,13.24
Social,Family Events,14.04
Academic,Study Sessions,14.98
Personal,Errands/Chores,19.15
Work,Part-time Job Shifts,12.95
Personal,Errands/Chores,18.72
Academic,Classes/Lectures,9.64
Well-being,Exercise,6.94
Extracurricular,Sports Practices/Games,16.02
Social,Family Events,14.15
Personal,Birthdays/Anniversaries,14.98
Social,Family Events,14.06
Extracurricular,Sports Practices/Games,16.89
Personal,Errands/Chores,19.52
Academic,Study Sessions,13.79
Academic,Study Sessions,14.14
Extracurricular,Sports Practices/Games,16.43
Work,Work Meetings,15.96
Extracurricular,Volunteer Activities,14.41
Personal,Doctor/Dentist Appointments,9.65
Academic,Study Sessions,14.76
Work,Work Meetings,15.83
Well-being,Exercise,7.64
Social,Family Events,14.4
Social,Parties/Gatherings,22.11
Personal,Doctor/Dentist Appointments,11.72
Well-being,Exercise,6.04
Social,Family Events,14.7
Extracurricular,Club Meetings,19.86
Academic,Study Sessions,13.55
Work,Part-time Job Shifts,10.18
Work,Work Meetings,16.72
Academic,Classes/Lectures,11.06
Academic,Classes/Lectures,8.42
Personal,Errands/Chores,19.53
Well-being,Exercise,6.07
Personal,Doctor/Dentist Appointments,11.96
Academic,Classes/Lectures,8.09
Extracurricular,Volunteer Activities,14.58
Well-being,Exercise,7.6
Personal,Doctor/Dentist Appointments,9.27
Social,Family Events,14.83
Personal,Birthdays/Anniversaries,14.24
Personal,Errands/Chores,18.89
Extracurricular,Sports Practices/Games,16.67
Academic,Study Sessions,13.47
Social,Family Events,14.25
Extracurricular,Volunteer Activities,14.42
Personal,Errands/Chores,19.64
Personal,Doctor/Dentist Appointments,9.43
Social,Family Events,14.36
Work,Work Meetings,15.52
Academic,Classes/Lectures,10.97
Extracurricular,Club Meetings,19.28
Personal,Birthdays/Anniversaries,14.01
Work,Work Meetings,15.36
Social,Family Events,14.71
Personal,Birthdays/Anniversaries,14.27
Well-being,Exercise,7.91
Social,Family Events,14.75
Well-being,Meditation/Yoga,13.1
Personal,Doctor/Dentist Appointments,9.5
Social,Family Events,14.34
Well-being,Meditation/Yoga,14.72
Well-being,Exercise,7.42
Personal,Doctor/Dentist Appointments,10.88
Academic,Classes/Lectures,10.76
Well-being,Meditation/Yoga,14.44
Academic,Study Sessions,14.81
Personal,Doctor/Dentist Appointments,10.08
Work,Part-time Job Shifts,10.95
Social,Parties/Gatherings,22.92
Academic,Classes/Lectures,11.85
Extracurricular,Club Meetings,19.49
Personal,Birthdays/Anniversaries,14.64
Work,Part-time Job Shifts,11.26
Extracurricular,Club Meetings,20.93
Extracurricular,Volunteer Activities,14.13
Work,Work Meetings,16.01
Well-being,Exercise,7.18
Personal,Birthdays/Anniversaries,14.05
Social,Family Events,14.29
Well-being,Exercise,7.56
Personal,Errands/Chores,18.38
Well-being,Meditation/Yoga,14.37
Work,Work Meetings,15.45
Personal,Doctor/Dentist Appointments,11.28
Extracurricular,Sports Practices/Games,16.13
Personal,Doctor/Dentist Appointments,9.61
Well-being,Meditation/Yoga,14.88
Personal,Doctor/Dentist Appointments,10.64
Personal,Birthdays/Anniversaries,14.23
Extracurricular,Club Meetings,19.57
Work,Part-time Job Shifts,10.47
Well-being,Meditation/Yoga,14.87
Well-being,Exercise,6.22
Academic,Study Sessions,14.51
Personal,Doctor/Dentist Appointments,10.97
Extracurricular,Volunteer Activities,14.79
Well-being,Meditation/Yoga,14.89
Personal,Errands/Chores,18.85
Personal,Birthdays/Anniversaries,14.17
Academic,Study Sessions,13.45
Work,Work Meetings,15.67
Extracurricular,Sports Practices/Games,16.14
Work,Part-time Job Shifts,9.04
Academic,Classes/Lectures,11.91
Well-being,Meditation/Yoga,14.96
Work,Work Meetings,16.69
Academic,Exams/Quizzes,18.8
Work,Part-time Job Shifts,12.09
Social,Parties/Gatherings,21.46
Academic,Exams/Quizzes,19.83
Academic,Classes/Lectures,10.68
Well-being,Exercise,7.61
Academic,Study Sessions,13.79
Work,Work Meetings,15.12
Work,Part-time Job Shifts,9.22
Social,Parties/Gatherings,22.01
Well-being,Exercise,7.39
Extracurricular,Sports Practices/Games,17.87
Academic,Study Sessions,13.85
Social,Parties/Gatherings,21.63
Well-being,Meditation/Yoga,14.53
Work,Work Meetings,15.54
Work,Work Meetings,15.17
Well-being,Exercise,7.6
Extracurricular,Club Meetings,19.76
Social,Parties/Gatherings,21.79
Work,Part-time Job Shifts,9.65
Social,Family Events,14.18
Academic,Classes/Lectures,8.96
Social,Family Events,14.63
Work,Part-time Job Shifts,12.67
Academic,Classes/Lectures,10.81
Personal,Birthdays/Anniversaries,14.58
Personal,Doctor/Dentist Appointments,10.07
Work,Work Meetings,16.59
Well-being,Meditation/Yoga,13.53
Academic,Classes/Lectures,11.49
Extracurricular,Club Meetings,19.5
Personal,Birthdays/Anniversaries,14.01
Personal,Birthdays/Anniversaries,14.27
Academic,Classes/Lectures,8.18
Extracurricular,Sports Practices/Games,17.91
Well-being,Exercise,7.01
Extracurricular,Club Meetings,19.86
Work,Part-time Job Shifts,9.97
Social,Parties/Gatherings,21.96
Work,Work Meetings,16.78
Extracurricular,Club Meetings,20.05
Extracurricular,Volunteer Activities,14.85
Social,Family Events,14.07
Work,Work Meetings,15.39
Personal,Doctor/Dentist Appointments,11.27
Well-being,Exercise,8.0
Well-being,Meditation/Yoga,13.64
Work,Part-time Job Shifts,10.78
Academic,Exams/Quizzes,18.98
Extracurricular,Volunteer Activities,14.99
Work,Part-time Job Shifts,12.49
Extracurricular,Volunteer Activities,14.54
Social,Family Events,14.1
Personal,Doctor/Dentist Appointments,11.88
Academic,Study Sessions,13.57
Work,Work Meetings,16.65
Work,Part-time Job Shifts,12.51
Academic,Classes/Lectures,10.58
Work,Work Meetings,16.86
Well-being,Exercise,6.23
Personal,Birthdays/Anniversaries,14.41
Social,Family Events,14.76
Work,Work Meetings,16.46
Personal,Birthdays/Anniversaries,14.23
Academic,Classes/Lectures,11.74
Work,Work Meetings,16.39
Academic,Study Sessions,13.32
Work,Work Meetings,15.96
Extracurricular,Club Meetings,20.9
Social,Family Events,14.18
Social,Parties/Gatherings,22.52
Social,Parties/Gatherings,21.31
Well-being,Meditation/Yoga,14.19
Social,Parties/Gatherings,22.44
Well-being,Meditation/Yoga,14.07
